Desde,Hasta,Tipo Alt,Comentarios
0.0,8.0,SI,Relleno de plataforma
8.0,184.0,KBT/QS,
184.0,283.03,KBT/QS,
283.03,283.55,SIL,
283.55,325.1,KBT/QS,
325.1,366.75,KBT/SIL,
366.75,372.95,SIL,
372.95,406.9,KBT/SIL,
406.9,408.35,SIL,
408.35,416.48,KBT/SIL,
416.48,420.57,SIL,
420.57,470.55,KBT/SIL,
470.55,475.9,KBT/QS,
475.9,489.6,KBT/SIL,
489.6,521.75,KBT/QS,
521.75,564.3,KBT/SIL,
564.3,586.4,KBt/Sil,
586.4,588.9,KBT/QS,
588.9,593.2,KBT/SIL,
593.2,603.8,KBT/SIL,
603.8,628.0,KBT/SIL,
628.0,783.8,KBT/QS,
783.8,785.0,KBT/SIL,
