Desde,Hasta,% Sulf,Py,Cpy,Cc,Bo,Mo
314.0,316.0,1.22,0.37,0.51,0.0,0.26,0.08
316.0,318.0,1.32,0.41,0.57,0.0,0.29,0.05
318.0,320.0,1.44,0.38,0.65,0.0,0.32,0.09
320.0,322.0,1.6,0.43,0.76,0.0,0.38,0.03
322.0,324.0,1.67,0.36,0.82,0.0,0.41,0.08
324.0,326.0,1.15,0.37,0.48,0.0,0.24,0.06
326.0,328.0,1.07,0.36,0.44,0.0,0.22,0.05
328.0,330.0,0.94,0.37,0.36,0.0,0.18,0.03
330.0,332.0,0.97,0.37,0.35,0.0,0.17,0.08
332.0,334.0,0.91,0.4,0.3,0.0,0.15,0.06
334.0,336.0,0.78,0.37,0.26,0.0,0.13,0.02
336.0,338.0,0.83,0.38,0.29,0.0,0.14,0.02
338.0,340.0,0.66,0.34,0.21,0.0,0.11,0.0
340.0,342.0,0.74,0.37,0.23,0.0,0.11,0.03
342.0,344.0,0.99,0.39,0.38,0.0,0.19,0.03
344.0,346.0,0.86,0.36,0.3,0.0,0.15,0.05
346.0,348.0,0.88,0.36,0.29,0.0,0.14,0.09
348.0,350.0,0.95,0.39,0.33,0.0,0.17,0.06
350.0,352.0,1.01,0.41,0.36,0.0,0.18,0.06
352.0,354.0,1.04,0.42,0.38,0.0,0.19,0.05
354.0,356.0,0.8,0.41,0.24,0.0,0.12,0.03
356.0,358.0,0.86,0.38,0.3,0.0,0.15,0.03
358.0,360.0,0.88,0.38,0.32,0.0,0.16,0.02
360.0,362.0,0.97,0.39,0.35,0.0,0.17,0.06
362.0,364.0,0.92,0.39,0.33,0.0,0.17,0.03
364.0,366.0,1.01,0.42,0.27,0.0,0.27,0.05
366.0,368.0,1.39,0.38,0.49,0.0,0.49,0.03
368.0,370.0,1.28,0.37,0.44,0.0,0.44,0.03
370.0,372.0,2.41,0.37,1.01,0.0,1.01,0.02
372.0,374.0,1.65,0.39,0.93,0.0,0.31,0.02
374.0,376.0,1.28,0.42,0.63,0.0,0.21,0.02
376.0,378.0,0.98,0.39,0.43,0.0,0.14,0.02
378.0,380.0,1.65,0.42,0.86,0.0,0.29,0.08
380.0,382.0,1.2,0.42,0.56,0.0,0.19,0.03
382.0,384.0,1.3,0.39,0.4,0.0,0.13,0.38
384.0,386.0,0.99,0.38,0.34,0.0,0.11,0.16
386.0,388.0,1.28,0.41,0.47,0.0,0.16,0.24
388.0,390.0,1.0,0.4,0.38,0.0,0.13,0.09
390.0,392.0,1.11,0.52,0.34,0.0,0.11,0.14
392.0,394.0,0.97,0.42,0.32,0.0,0.11,0.12
394.0,396.0,2.72,0.45,1.6,0.0,0.53,0.14
396.0,398.0,1.67,0.41,0.9,0.0,0.3,0.06
398.0,400.0,0.83,0.37,0.32,0.0,0.11,0.03
400.0,402.0,0.79,0.38,0.27,0.0,0.09,0.05
402.0,404.0,0.91,0.37,0.36,0.0,0.12,0.06
404.0,406.0,1.21,0.38,0.61,0.0,0.2,0.02
406.0,408.0,1.62,0.36,0.92,0.0,0.31,0.03
